"","BANDNU","PREFIXNUMB","BANDNUMBER","RECAP","SPECIESCOD","SPECIESNUM","STATUS","REMARKCD","AGE","SEX","WT","CULMEN","TARSUS","DATE","WING","NASALCODE","TARSALCODE","MAP_NO","FREQUENCY","NEST_NO","EASTING","NORTHING","COMMENTS","LEAD","XRAY","DNA","WAES","REC","BANDSITE","LATITITUDE","D1","LONGITUDE","D2","REMARKS","COLLAR","CCOLLAR","TCOLOR","BANDET","WEBTAG","BLOOD","PAINT","RTFREQ","RTATTACH","RTPOWR","RTANT","SPOT","HAND","TRAN","G24H","OILD","BRDP"
"1",NA,"966","00211",NA,"OLDS","1540","389",NA,"AHY","F",550,NA,NA,1999-06-17,NA,NA,NA,"10","15738","GJH032",500604,6745530,NA,NA,NA,NA,NA,"0","KIG",6050.4,"N",16459,"W","SATELLITE TRANSM",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y"
"2",NA,"966","00212",NA,"OLDS","1540","389",NA,"AHY","F",575,NA,NA,1999-06-17,NA,NA,NA,"12","15733","TLM004",499487,6743813,"60 50 40  165 00 02",FALSE,NA,NA,NA,"0","KIG",6050.4,"N",16500.02,"W","SATELLITE TRANSM",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y"
"3",NA,"966","00213",NA,"OLDS","1540","389",NA,"AHY","F",550,NA,NA,1999-06-17,NA,NA,NA,"24","11516","TLM105",499970,6744345,"60 50 12  165 00 00",NA,NA,NA,NA,"0","KIG",6050.12,"N",16500,"W","SATELLITE TRANSM",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y"
"4",NA,"966","00214",NA,"OLDS","1540","389",NA,"AHY","F",575,NA,NA,1999-06-17,NA,NA,NA,"13","11518","GJH038",500630,6744500,NA,NA,NA,NA,NA,"0","KIG",6050.37,"N",16459.1,"W","SATELLITE TRANSM",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y"
"5",NA,"966","00215",NA,"OLDS","1540","389",NA,"AHY","F",750,NA,NA,1999-06-17,NA,NA,NA,"CMP","15734","TLM135",500579,6744751,"60 50 23  164 59 22",NA,NA,NA,NA,"0","KIG",6050.23,"N",16459.22,"W","SATELLITE TRANSM",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y"
"6",NA,"1347","21750",FALSE,"SPEI","1508","351",NA,"AHY","F",1362,NA,NA,1999-06-09,NA,NA,NA,"CMP",NA,"BAND",500579,6744751,NA,NA,NA,NA,NA,"0","KIG",6050.23,"N",16459.22,"W","REHAB BIRD RELEASED",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"7",NA,"1347","46068",TRUE,"SPEI","1508","318",NA,"ATY","F",1200,NA,NA,1999-08-03,NA,"J65","E2","30",NA,"BAND",501033,6744200,NA,TRUE,NA,NA,NA,"R","KIG",6050.03,"N",16458.36,"W","REPLACED NASA TAG",NA,NA,"Y",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"8",NA,"1347","46071",TRUE,"SPEI","1508","318",NA,"ATY","F",1250,NA,NA,1999-08-04,NA,"H85","3K","6",NA,"BAND",499772,6746063,NA,TRUE,NA,NA,NA,"R","KIG",6051.09,"N",16500.18,"W","REPLACED NASA TAG",NA,NA,"Y",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"9",NA,"1347","46077",TRUE,"SPEI","1508","318",NA,"ATY","F",1200,0,0,1999-06-23,0,"S83","A4","9",NA,"TLM003",499658,6745823,NA,TRUE,FALSE,FALSE,FALSE,"R","KIG",6050.1,"N",16458.34,"W","REPLACED NASA TAG",NA,NA,"Y",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"10",NA,"1347","46081",TRUE,"SPEI","1508","318",NA,"ATY","F",NA,NA,NA,1999-08-03,NA,"S61","6K","33","5783","BAND",500578,6743858,NA,TRUE,NA,NA,NA,"R","KIG",6050.09,"N",16500.02,"W","CAUGHT W/BROOD",NA,NA,"Y",NA,NA,"Y",NA,"5783",NA,NA,NA,NA,NA,"Y",NA,NA,"Y"
"11",NA,"1347","46081",TRUE,"SPEI","1508","389",NA,"ATY","F",1140,0,0,1999-07-01,0,"S61","6K","24","5783","TLM104",499976,6744316,NA,TRUE,FALSE,FALSE,FALSE,"R","KIG",6049.57,"N",16459.18,"W","REPLACED NASA TAG",NA,NA,"Y",NA,NA,"Y",NA,"5783",NA,NA,NA,NA,NA,"Y",NA,NA,"Y"
"12",NA,"1347","46082",TRUE,"SPEI","1508","318",NA,"ATY","F",1100,0,0,1999-06-22,0,"S63","E6","6",NA,"TLM063",500223,6746066,NA,TRUE,FALSE,FALSE,FALSE,"R","KIG",6051.06,"N",16459.45,"W","REPLACED NASA TAG",NA,NA,"Y",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"13",NA,"1347","46088",TRUE,"SPEI","1508","318",NA,"ATY","F",1150,0,0,1999-07-01,0,NA,"J5","23",NA,"TLM089",499598,6744332,"NARE DEFORMED DID NOT PUT NASAL ON",TRUE,FALSE,FALSE,FALSE,"R","KIG",6050.11,"N",16500.11,"W",NA,NA,NA,"Y",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"14",NA,"1347","46090",TRUE,"SPEI","1508","318",NA,"ATY","F",1240,NA,0,1999-08-05,NA,"X33","C6","11",NA,"BAND",500672,6745975,NA,NA,NA,NA,NA,"R","KIG",6051,"N",16459.01,"W",NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
