"","BANDNU","PREFIXNUMB","BANDNUMBER","RECAP","SPECIESCOD","SPECIESNUM","STATUS","REMARKCD","AGE","SEX","WT","CULMEN","TARSUS","DATE","WING","NASALCODE","TARSALCODE","MAP_NO","FREQUENCY","NEST_NO","EASTING","NORTHING","COMMENTS","LEAD","XRAY","DNA","WAES"
"1",NA,"1037","52972",TRUE,"SPEI",NA,NA,NA,"ASY","F",1250,NA,NA,1900-06-17,NA,"10X","K5","4",NA,"MLS008",500905,6746730,NA,TRUE,NA,NA,NA
"2",NA,"1347","46090",TRUE,"SPEI",NA,NA,NA,"ASY","F",1150,NA,NA,1900-06-19,NA,"2X6","C6","11",NA,"TLM046",500730,6745744,NA,TRUE,FALSE,FALSE,FALSE
"3",NA,"1347","57968",TRUE,"SPEI",NA,NA,NA,"ASY","F",1375,0,0,1900-06-20,0,"73X","PA","50",NA,"MLS065",501918,6743747,NA,TRUE,FALSE,FALSE,FALSE
"4",NA,"1347","57403",TRUE,"SPEI",NA,NA,NA,"ASY","F",1200,0,0,1900-06-20,0,"3X4","NV","31",NA,"TLM032",502021,6744106,NA,TRUE,FALSE,FALSE,FALSE
"5",NA,"1347","46083",TRUE,"SPEI",NA,NA,NA,"ASY","F",1375,0,0,1900-06-20,0,"47X","E0","30",NA,"BG017",501262,6744338,NA,TRUE,FALSE,FALSE,FALSE
"6",NA,"1347","76958",TRUE,"SPEI",NA,NA,NA,"ASY","F",1225,0,0,1900-06-20,0,"2X3","502","10",NA,"MLS020",500340,6745604,NA,TRUE,FALSE,FALSE,FALSE
"7",NA,"1347","57941",TRUE,"SPEI",NA,NA,NA,"ASY","F",1125,0,0,1900-06-20,0,NA,"6J","11",NA,"TLM041",500535,6745722,"REMOVED NASAL-BILL BEAT UP",TRUE,FALSE,FALSE,FALSE
"8",NA,"1347","81036",FALSE,"SPEI",NA,NA,NA,"AHY","F",1275,24.3,56.8,1900-06-21,260,"J75","978","34",NA,"MLS031",500292,6743285,NA,TRUE,FALSE,FALSE,FALSE
"9",NA,"1347","81037",FALSE,"SPEI",NA,NA,NA,"AHY","F",1175,28.1,58.4,1900-06-21,255,"J51","563","46",NA,"BG063",500912,6743386,NA,TRUE,FALSE,FALSE,FALSE
"10",NA,"1347","81038",FALSE,"SPEI",NA,NA,NA,"AHY","F",1175,26.7,55.1,1900-06-21,251,"1X7","720","28",NA,"BG041",500959,6744307,NA,FALSE,FALSE,FALSE,FALSE
"11",NA,"1347","57435",TRUE,"SPEI",NA,NA,NA,"ASY","F",1250,0,0,1900-06-21,0,"T10","LP","24","4344","MLS003",499679,6744517,NA,TRUE,FALSE,FALSE,FALSE
"12",NA,"1347","76920",TRUE,"SPEI",NA,NA,NA,"ASY","F",1200,0,0,1900-06-21,0,"S64","961","26","4469","MLS033",499949,6744131,NA,TRUE,FALSE,FALSE,FALSE
"13",NA,"1037","52966",FALSE,"SPEI",NA,NA,NA,"ASY","F",1200,0,0,1900-06-22,0,"7X7","K9","25",NA,"TLM083",499590,6744201,NA,TRUE,FALSE,FALSE,FALSE
"14",NA,"1347","81040",FALSE,"SPEI",NA,NA,NA,"AHY","F",1425,27.9,59.7,1900-06-22,260,"7X2","266","I35",NA,"TLM071",499827,6743257,NA,TRUE,FALSE,FALSE,FALSE
"15",NA,"1347","81039",FALSE,"SPEI",NA,NA,NA,"AHY","F",1350,24.9,56.8,1900-06-22,247,"X91","573","I35",NA,"TLM070",499830,6743137,NA,TRUE,FALSE,FALSE,FALSE
