"","BANDNU","PREFIXNUMB","BANDNUMBER","RECAP","SPECIESCOD","SPECIESNUM","STATUS","REMARKCD","AGE","SEX","WT","CULMEN","TARSUS","OBS","DATE","WING","NASAL","TARSAL","MAP_NO","FREQUENCY","MOMBAND","NEST_NO","EASTING","NORTHING","COMMENTS","LEAD","XRAY","DNA","WAES"
"1",NA,"1347","81310",FALSE,"SPEI",NA,NA,NA,"ASY","F",950,25,55,NA,2001-06-21,267,"T75","X89",NA,NA,NA,"MLW059",0,0,NA,TRUE,FALSE,TRUE,NA
"2",NA,"1347","46084",TRUE,"SPEI",NA,NA,NA,"ASY","F",990,24,52,NA,2001-06-27,250,"5T7","C5",NA,NA,NA,"MLW077",0,0,"NEW NASAL",TRUE,FALSE,TRUE,NA
"3",NA,"1347","81307",FALSE,"COEI",NA,NA,NA,"ASY","F",1580,52,63,NA,2001-06-21,314,NA,NA,NA,NA,NA,"MLW011",0,0,NA,TRUE,FALSE,TRUE,NA
"4",NA,"1347","81308",FALSE,"COEI",NA,NA,NA,"ASY","F",1740,45,60,NA,2001-06-25,307,NA,NA,NA,NA,NA,"MLW054",0,0,NA,TRUE,FALSE,TRUE,NA
"5",NA,"1347","81306",FALSE,"COEI",NA,NA,NA,"ASY","F",1990,53,62,NA,2001-06-21,316,NA,NA,NA,NA,NA,"HCW046",0,0,NA,TRUE,FALSE,TRUE,NA
"6",NA,"1347","81311",FALSE,"COEI",NA,NA,NA,"ASY","F",1820,48,63,NA,2001-06-28,312,NA,NA,NA,NA,NA,"DVS077",0,0,NA,TRUE,FALSE,TRUE,NA
"7",NA,"1347","76917",TRUE,"COEI",NA,NA,NA,"ASY","F",1650,49,63,NA,2001-06-27,310,NA,"428",NA,NA,NA,"MLW072",0,0,NA,TRUE,FALSE,TRUE,NA
"8",NA,"1347","81312",FALSE,"COEI",NA,NA,NA,"ASY","F",1610,49,64,NA,2001-06-26,304,NA,NA,NA,NA,NA,"MLW075",0,0,NA,TRUE,FALSE,TRUE,NA
"9",NA,"1347","81309",FALSE,"COEI",NA,NA,NA,"ASY","F",1700,52,61,NA,2001-06-21,319,NA,NA,NA,NA,NA,"MLW079",0,0,NA,TRUE,FALSE,TRUE,NA
"10",NA,"1347","81313",FALSE,"COEI",NA,NA,NA,"ASY","F",1790,51,59,NA,2001-06-30,292,NA,NA,NA,NA,NA,"DVS082",0,0,NA,TRUE,FALSE,TRUE,NA
"11",NA,"1347","81305",NA,"SPEI",NA,NA,NA,"ASY","F",1390,26,57,NA,2001-06-04,258,"T47","418",NA,NA,NA,NA,NA,NA,"MIST NET CAPTURE",NA,NA,NA,NA
"12",NA,"1347","76930",TRUE,"SPEI",NA,NA,NA,"ASY","F",1690,23,56,NA,2001-05-25,262,"T52","472",NA,NA,NA,NA,NA,NA,"MIST NET CAPTURE, NEW NASAL",NA,NA,NA,NA
