"","HEADER_ID","NEST_NO","SPECIES","STUDYAREA","PHOTO","HABTYPE","VEGTYPE","SITE","EASTING","NORTHING","NMARK","Year","H2O_DIST","Plot #","On or Off Plot","COMMENTS"
"1","1994_ADS005","ADS005","COEI","KIGI","6","GRASSF","MEADOW","pondshore",500500,6746500,NA,"1994",1.5,NA,NA,NA
"2","1994_ADS006","ADS006","COEI","KIGI","6","GRASSF","MEADOW","pondshore",500500,6746500,NA,"1994",1,NA,NA,NA
"3","1994_ADS007","ADS007","COEI","KIGI","6","GRASSF","MEADOW","pondshore",500500,6746500,NA,"1994",1,NA,NA,NA
"4","1994_ADS009","ADS009","COEI","KIGI","26","GRASSF","MEADOW","pondshore",501500,6743500,NA,"1994",0.3,NA,NA,NA
"5","1994_ADS011","ADS011","COEI","KIGI","32","GRASSF","MEADOW","pondshore",499500,6744500,NA,"1994",1,NA,NA,NA
"6","1994_ADS012","ADS012","COEI","KIGI","25","GRASSF","MEADOW","sloughbank",5e+05,6744000,NA,"1994",0.5,NA,NA,NA
"7","1994_ADS013","ADS013","COEI","KIGI","24","GRASSF","MEADOW","pondshore",499500,6744000,NA,"1994",1,NA,NA,NA
"8","1994_ADS015","ADS015","COEI","KIGI","18","GRASSF","MEADOW","pondshore",503000,6745000,NA,"1994",0.5,NA,NA,NA
"9","1994_ADS016","ADS016","COEI","KIGI","28","GRASSF","MEADOW","pondshore",503500,6745000,NA,"1994",1,NA,NA,NA
"10","1994_ADS018","ADS018","COEI","KIGI","28","GRASSF","MEADOW","peninsula",503500,6745000,NA,"1994",0.5,NA,NA,NA
"11","1994_ADS019","ADS019","COEI","KIGI","28","GRASSF","MEADOW","island",503500,6745000,NA,"1994",0.3,NA,NA,NA
"12","1994_ADS020","ADS020","COEI","KIGI","28","GRASSF","MEADOW","pondshore",503500,6745000,NA,"1994",0.3,NA,NA,NA
"13","1994_ADS021","ADS021","COEI","KIGI","28","GRASSF","MEADOW","island",503500,6744500,NA,"1994",0.3,NA,NA,NA
"14","1994_ADS023","ADS023","COEI","KIGI","23","GRASSF","MEADOW","pondshore",503000,6744000,NA,"1994",0.5,NA,NA,NA
"15","1994_ADS024","ADS024","COEI","KIGI","14","GRASSF","MEADOW","pondshore",501000,6745500,NA,"1994",4,NA,NA,NA
"16","1994_ADS026","ADS026","COEI","KIGI","30","GRASSF","MEADOW","pondshore",0,0,NA,"1994",1,NA,NA,NA
"17","1994_ADS033","ADS033","COEI","KIGI","6","GRASSF","MEADOW","island",500500,6746500,NA,"1994",1,NA,NA,NA
"18","1994_ADS034","ADS034","COEI","KIGI","6","GRASSF","MEADOW","pondshore",500500,6746500,NA,"1994",5,NA,NA,NA
"19","1994_ADS038","ADS038","COEI","KIGI","25","GRASSF","MEADOW","pondshore",5e+05,6744000,NA,"1994",0.5,NA,NA,NA
"20","1994_ADS039","ADS039","COEI","KIGI","24","GRASSF","MEADOW","pondshore",499500,6744000,NA,"1994",2,NA,NA,NA
"21","1994_ADS041","ADS041","COEI","KIGI","28","GRASSF","MEADOW","pondshore",503500,6744500,NA,"1994",0.5,NA,NA,NA
"22","1994_ADS042","ADS042","COEI","KIGI","28","GRASSF","MEADOW","island",503500,6744500,NA,"1994",0.5,NA,NA,NA
"23","1994_ADS043","ADS043","COEI","KIGI","0","GRASSF","MEADOW","sloughbank",502000,6745000,NA,"1994",1,NA,NA,NA
"24","1994_ADS045","ADS045","COEI","KIGI","0","UPLAND","MEADOW","pondshore",0,0,NA,"1994",8,NA,NA,NA
"25","1994_KSB004","KSB004","COEI","KIGI","28","GRASSF","MEADOW","pondshore",503500,6744500,NA,"1994",1,NA,NA,NA
"26","1994_KSB008","KSB008","COEI","KIGI","15","GRASSF","MEADOW","sloughbank",503000,6745000,TRUE,"1994",5,NA,NA,NA
"27","1994_KSB010","KSB010","COEI","KIGI","26","GRASSF","MEADOW","sloughbank",501000,6744000,FALSE,"1994",24.5,NA,NA,NA
"28","1994_KSB012","KSB012","COEI","KIGI","151","GRASSF","MEADOW","island",500700,6742850,FALSE,"1994",0.5,NA,NA,NA
"29","1994_KSB013","KSB013","COEI","KIGI","18","GRASSF","MEADOW","sloughbank",502500,6745000,NA,"1994",15,NA,NA,NA
"30","1994_KSB015","KSB015","COEI","KIGI","3","GRASSF","MEADOW","sloughbank",500500,6746000,TRUE,"1994",2,NA,NA,NA
"31","1994_TLM002","TLM002","COEI","KIGI","2","GRASSF","MEADOW","sloughbank",5e+05,6747000,NA,"1994",0,NA,NA,NA
"32","1994_TLM005","TLM005","COEI","KIGI","30","GRASSF","MEADOW","pondshore",499500,6743500,NA,"1994",0,NA,NA,NA
"33","1994_TLM008","TLM008","COEI","KIGI","33","GRASSF","MEADOW","pondshore",500500,6743500,NA,"1994",5,NA,NA,NA
"34","1994_TLM009","TLM009","COEI","KIGI","7","GRASSF","MEADOW","island",502500,6746000,NA,"1994",0,NA,NA,NA
"35","1994_TLM010","TLM010","COEI","KIGI","7","GRASSF","MEADOW","island",502500,6746000,NA,"1994",0,NA,NA,NA
"36","1994_TLM011","TLM011","COEI","KIGI","7","GRASSF","MEADOW","island",502500,6746000,NA,"1994",0,NA,NA,NA
"37","1994_TLM013","TLM013","COEI","KIGI","16","GRASSF","MEADOW","island",503000,6745000,NA,"1994",0,NA,NA,NA
"38","1994_TLM015","TLM015","COEI","KIGI","12","GRASSF","MEADOW","island",501000,6745500,NA,"1994",0.5,NA,NA,NA
"39","1994_TLM018","TLM018","COEI","KIGI","19","GRASSF","MEADOW","peninsula",5e+05,6744500,NA,"1994",1,NA,NA,NA
"40","1994_TLM022","TLM022","COEI","KIGI","25","GRASSF","MEADOW","sloughbank",5e+05,6744000,NA,"1994",1,NA,NA,NA
"41","1994_TLM024","TLM024","COEI","KIGI","25","GRASSF","MEADOW","pondshore",5e+05,6744000,NA,"1994",1,NA,NA,NA
"42","1994_TLM025","TLM025","COEI","KIGI","25","GRASSF","MEADOW","island",5e+05,6744000,NA,"1994",0.5,NA,NA,NA
"43","1994_TLM027","TLM027","COEI","KIGI","25","GRASSF","MEADOW","pondshore",5e+05,6744000,NA,"1994",0.5,NA,NA,NA
"44","1994_TLM030","TLM030","COEI","KIGI","23","GRASSF","MEADOW","island",501500,6745000,NA,"1994",0.5,NA,NA,NA
"45","1994_TLM034","TLM034","COEI","KIGI","28","GRASSF","MEADOW","pondshore",503000,6744500,NA,"1994",0.5,NA,NA,NA
"46","1994_TLM035","TLM035","COEI","KIGI","28","GRASSF","MEADOW","island",503000,6745000,NA,"1994",0.4,NA,NA,NA
"47","1994_TLM036","TLM036","COEI","KIGI","28","GRASSF","MEADOW","island",503500,6745000,NA,"1994",1,NA,NA,NA
"48","1994_TLM037","TLM037","COEI","KIGI","28","GRASSF","MEADOW","sloughbank",503500,6745000,NA,"1994",2,NA,NA,NA
"49","1994_TLM038","TLM038","COEI","KIGI","28","GRASSF","MEADOW","island",503500,6745000,NA,"1994",0.3,NA,NA,NA
"50","1994_TLM039","TLM039","COEI","KIGI","28","GRASSF","MEADOW","island",503500,6744500,NA,"1994",0.2,NA,NA,NA
"51","1994_TLM040","TLM040","COEI","KIGI","28","GRASSF","MEADOW","island",503500,6744500,NA,"1994",0.3,NA,NA,NA
"52","1994_TLM041","TLM041","COEI","KIGI","23","GRASSF","MEADOW","island",503000,6744500,NA,"1994",0.2,NA,NA,NA
"53","1994_TLM044","TLM044","COEI","KIGI","22","GRASSF","MEADOW","pondshore",502000,6744000,NA,"1994",0.4,NA,NA,NA
"54","1994_TLM048","TLM048","COEI","KIGI","27","GRASSF","MEADOW","pondshore",501500,6744000,NA,"1994",0.3,NA,NA,NA
"55","1994_TLM049","TLM049","COEI","KIGI","20","GRASSF","MEADOW","pondshore",500500,6744500,NA,"1994",0.3,NA,NA,NA
"56","1994_TLM055","TLM055","COEI","KIGI","30","GRASSF","MEADOW","sloughbank",499500,6743500,NA,"1994",1.5,NA,NA,NA
