"","MARK_ID","PREFIXNUMB","BANDNUMBER","RECAP","SPECIESCOD","SPECIESNUM","STATUS","REMARKCD","AGE","SEX","WT","CULMEN","TARSUS","DATE","WING","NASALCODE","TARSALCODE","MAP_NO","FREQUENCY","NEST_NO","EASTING","NORTHING","COMMENTS","LEAD","XRAY","DNA","WAES","YEAR","REC","BANDSITE","LATITITUDE","D1","LONGITUDE","D2","REMARKS","TCOLOR","BLOOD","RTFREQ","TRAN","BRDP","SPECIES","OBS","MOMBAND","OBS2","OBS3","VIRUS","RADIO","WHOLEBLOOD","SERUM","TRAP","BTIME","RESIGHT","RESIGHT1","C_SWAB","PLOT","BANDNU_COMPLETE","Replacement 
Tarsal","Replacement 
Nasal","Date Originally 
Banded"
"1","1994-06-11_134757914_TLM091","1347","57914",FALSE,"SPEI","1580",NA,"245","AHY","F",1400,260,600,1994-06-11,249,"E53","7E","0",NA,"TLM091",502500,6744000,"BOWTRAP",FALSE,FALSE,FALSE,FALSE,"1994",NA,NA,60.8313189324878,NA,-164.954020789839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"134757914",NA,NA,NA
"2","1994-06-15_103752950_TLM012","1037","52950",TRUE,"SPEI","1580",NA,"249","ATY","F",1225,309,581,1994-06-15,252,"E55","5J","16",NA,"TLM012",503000,6745500,"CAUGHT WITH MIST NET",TRUE,FALSE,TRUE,FALSE,"1994",NA,NA,60.8447826525995,NA,-164.944801743643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"103752950",NA,NA,NA
"3","1994-06-15_134757911_TLM073","1347","57911",TRUE,"SPEI","1580",NA,"249","ASY","F",1250,263,582,1994-06-15,251,"E56","9C","16",NA,"TLM073",503000,6745500,"BOWTRAP",TRUE,FALSE,TRUE,FALSE,"1994",NA,NA,60.8447826525995,NA,-164.944801743643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"134757911",NA,NA,NA
"4","1994-06-15_103752967_TLM017","1037","52967",TRUE,"SPEI","1580",NA,"249","ATY","F",1100,241,562,1994-06-15,241,"E57","J6","12",NA,"TLM017",500500,6745500,"MISTNET",TRUE,FALSE,TRUE,FALSE,"1994",NA,NA,60.8447936682404,NA,-164.990800288168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"103752967",NA,NA,NA
"5","1994-06-15_103752954_TLM053","1037","52954",TRUE,"SPEI","1580",NA,"249","ATY","F",1025,264,556,1994-06-15,260,"E63","A0","6",NA,"TLM053",5e+05,6746000,"MISTNET",TRUE,FALSE,TRUE,FALSE,"1994",NA,NA,60.8492830390959,NA,-165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"103752954",NA,NA,NA
"6","1994-06-15_103752952_TLM001","1037","52952",TRUE,"SPEI","1580",NA,"245","ATY","F",1025,253,549,1994-06-15,252,"E64","JZ","0",NA,"TLM001",499500,6745000,"CAUGHT W/BROOD IN POND MISTNET",FALSE,FALSE,TRUE,FALSE,"1994",NA,NA,60.8403046091545,NA,-165.009198422038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"103752952",NA,NA,NA
"7","1994-06-16_134746068_ADS010","1347","46068",TRUE,"SPEI","1580",NA,"249","ASY","F",1150,250,565,1994-06-16,239,"E58","E2","27",NA,"ADS010",502000,6743500,"BOWTRAP",TRUE,FALSE,TRUE,FALSE,"1994",NA,NA,60.8268326962393,NA,-164.963221783528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"134746068",NA,NA,NA
"8","1994-06-16_134757919_TLM007","1347","57919",FALSE,"SPEI","1580",NA,"249","AHY","F",1060,261,572,1994-06-16,257,"E59","YX","29",NA,"TLM007",500500,6743500,"BOWTRAP",TRUE,FALSE,TRUE,FALSE,"1994",NA,NA,60.8268374137702,NA,-164.990805444839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"134757919",NA,NA,NA
"9","1994-06-16_134757920_TLM021","1347","57920",FALSE,"SPEI","1580",NA,"249","AHY","F",1190,270,562,1994-06-16,249,"E60","YY","25",NA,"TLM021",5e+05,6744500,"BOWTRAP",TRUE,FALSE,TRUE,FALSE,"1994",NA,NA,60.8358158616651,NA,-165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"134757920",NA,NA,NA
"10","1994-06-17_134757921_TLM023","1347","57921",FALSE,"SPEI","1580",NA,"249","AHY","F",1150,263,599,1994-06-17,251,"E61","YZ","20",NA,"TLM023",5e+05,6744000,"MIST NETTED",TRUE,FALSE,TRUE,FALSE,"1994",NA,NA,60.8313267964795,NA,-165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"134757921",NA,NA,NA
