"","CAPTURE","FIRST_MARK","NASAL","SEX","NEST_NO","DATE","TIME","OBS","EASTING","NORTHING","ZONE","ASSOC","COMMENTS","Year","SPECIES","TARSALCODE","PLOT","RESIGHT","BAND #","RESIGHT_METHOD","Year Banded","...24","Culmen","Tarsus","Peviously had nasal disk?","...28","LAT","LON"
"1",TRUE,"NONE","NON","F","ADS035",1994-06-23,1650,"ADS",501000,"6744000",0,"NEST","TRAPPED THIS VISIT","1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8313255382406,-164.981608313013
"2",FALSE,"TARSAL","NON","F","BAND",1994-05-12,1450,"TLM",500500,"6745000",0,"PAIR",NA,"1994",NA,"YEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8403046091545,-164.990801577962
"3",FALSE,"TARSAL","NON","F","BAND",1994-05-12,1742,"TLM",5e+05,"6745000",0,"PAIR",NA,"1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8403049238295,-165
"4",FALSE,"TARSAL","NON","F","BAND",1994-05-14,1330,"TLM",499500,"6745500",0,"PAIR",NA,"1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447936682404,-165.009199711832
"5",FALSE,"TARSAL","NON","F","BAND",1994-05-14,1440,"TLM",5e+05,"6745500",0,"ALON",NA,"1994",NA,"A0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.844793982973,-165
"6",FALSE,"TARSAL","NON","F","BAND",1994-05-14,1530,"TLM",499500,"6745500",0,"PAIR",NA,"1994",NA,"A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447936682404,-165.009199711832
"7",FALSE,"TARSAL","NON","F","BAND",1994-05-15,1140,"TLM",5e+05,"6744500",0,"PAIR",NA,"1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8358158616651,-165
"8",FALSE,"TARSAL","NON","F","BAND",1994-05-14,1700,"ADS",501000,"6745500",0,"PAIR",NA,"1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447927240423,-164.981600576754
"9",FALSE,"NONE","NON","F","BAND",1994-05-15,1130,"TLM",500500,"6744500",0,"PAIR",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8358155470477,-164.990802867339
"10",FALSE,"NONE","NON","F","BAND",1994-05-15,1155,"TLM",500500,"6744000",0,"PAIR",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8313264819197,-164.990804156298
"11",FALSE,"UNK","NON","F","BAND",1994-05-15,1230,"TLM",501000,"6744000",0,"PAIR",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8313255382406,-164.981608313013
"12",FALSE,"UNK","NON","F","BAND",1994-05-15,1315,"TLM",501000,"6742500",0,"PAIR",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8178583252448,-164.981616041755
"13",FALSE,"TARSAL","NON","F","BAND",1994-05-14,1545,"TLM",501000,"6744500",0,"PAIR",NA,"1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8358146031957,-164.981605735095
"14",FALSE,"NONE","NON","F","BAND",1994-05-15,1330,"ADS",5e+05,"6746000",0,"PAIR",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8492830390959,-165
"15",FALSE,"NONE","NON","F","BAND",1994-05-15,1400,"TLM",5e+05,"6743500",0,"PAIR",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8268377282723,-165
"16",FALSE,"TARSAL","NON","F","BAND",1994-05-15,1245,"ADS",499500,"6746000",0,"FLOC","2FEMALES;1MALE","1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8492827243056,-165.009201002045
"17",FALSE,"TARSAL","NON","F","BAND",1994-05-15,1245,"ADS",499500,"6746000",0,"FLOC","2FEMALES;1MALE","1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8492827243056,-165.009201002045
"18",FALSE,"NONE","NON","F","BAND",1994-05-15,1345,"ADS",499500,"6746000",0,"PAIR",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8492827243056,-165.009201002045
"19",FALSE,"NONE","NON","F","BAND",1994-05-15,1410,"ADS",499500,"6746000",0,"PAIR",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8492827243056,-165.009201002045
"20",FALSE,"NONE","NON","F","BAND",1994-05-15,1615,"ADS",500500,"6746000",0,"ALON",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8492827243056,-164.990798997955
"21",FALSE,"NONE","NON","F","BAND",1994-05-16,1045,"TLM",500500,"6745000",0,"PAIR",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8403046091545,-164.990801577962
"22",FALSE,"NONE","NON","F","BAND",1994-05-16,1130,"TLM",5e+05,"6746000",0,"PAIR","2 FEMALES","1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8492830390959,-165
"23",FALSE,"NONE","NON","F","BAND",1994-05-16,1130,"TLM",5e+05,"6746000",0,"PAIR","2 FEMALES","1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8492830390959,-165
"24",FALSE,"NONE","NON","F","BAND",1994-05-16,1145,"TLM",5e+05,"6746000",0,"FLOC","2 SPEI PAIRS","1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8492830390959,-165
"25",FALSE,"NONE","NON","F","BAND",1994-05-16,1453,"TLM",500500,"6745500",0,"PAIR",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447936682404,-164.990800288168
"26",FALSE,"NONE","NON","F","BAND",1994-05-16,1145,"TLM",5e+05,"6746000",0,"FLOC","2 SPEI PAIRS","1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8492830390959,-165
"27",FALSE,"NASAL","PRE","F","BAND",1994-05-16,1200,"TLM",500500,"6746500",0,"PAIR",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8537717773505,-164.990797707325
"28",FALSE,"NONE","NON","F","BAND",1994-05-16,1242,"TLM",501000,"6746500",0,"PAIR",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8537708328063,-164.981595415068
"29",FALSE,"NONE","NON","F","BAND",1994-05-16,1402,"TLM",501000,"6745500",0,"PAIR",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447927240423,-164.981600576754
"30",FALSE,"NONE","UNK","F","BAND",1994-05-16,1432,"TLM",500500,"6745500",0,"PAIR",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447936682404,-164.990800288168
"31",FALSE,"NONE","UNK","F","BAND",1994-05-16,1230,"ADS",5e+05,"6743500",0,"PAIR",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8268377282723,-165
"32",FALSE,"TARSAL","NON","F","BAND",1994-05-16,1910,"ADS",501000,"6745500",0,"PAIR",NA,"1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447927240423,-164.981600576754
"33",FALSE,"NONE","UNK","F","BAND",1994-05-15,1330,"ADS",5e+05,"6743500",0,"PAIR",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8268377282723,-165
"34",FALSE,"NONE","UNK","F","BAND",1994-05-16,1430,"ADS",5e+05,"6743500",0,"PAIR",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8268377282723,-165
"35",FALSE,"NONE","UNK","F","BAND",1994-05-16,1530,"ADS",5e+05,"6743500",0,"PAIR",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8268377282723,-165
"36",FALSE,"NONE","UNK","F","BAND",1994-05-16,1430,"ADS",5e+05,"6743500",0,"PAIR",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8268377282723,-165
"37",FALSE,"TARSAL","NON","F","BAND",1994-05-17,1150,"TLM",501500,"6745000",0,"PAIR",NA,"1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8403020917546,-164.972404735559
"38",FALSE,"NONE","NON","F","BAND",1994-05-17,1150,"TLM",501500,"6745000",0,"PAIR",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8403020917546,-164.972404735559
"39",FALSE,"TARSAL","NON","F","BAND",1994-05-17,1212,"TLM",502000,"6745000",0,"FLOC","3 PAIRS SPEI","1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8402998890299,-164.963206316029
"40",FALSE,"NONE","NON","F","BAND",1994-05-17,1212,"TLM",502000,"6745000",0,"FLOC","3 PAIRS SPEI","1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8402998890299,-164.963206316029
"41",FALSE,"NONE","NON","F","BAND",1994-05-17,1212,"TLM",502000,"6745000",0,"FLOC","3 PAIRS SPEI","1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8402998890299,-164.963206316029
"42",FALSE,"TARSAL","NON","F","BAND",1994-05-17,1450,"TLM",501000,"6744500",0,"PAIR",NA,"1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8358146031957,-164.981605735095
"43",FALSE,"NASAL","PRE","F","BAND",1994-05-17,1222,"TLM",502000,"6745000",0,"PAIR",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8402998890299,-164.963206316029
"44",FALSE,"NONE","UNK","F","BAND",1994-05-17,1350,"TLM",502000,"6744000",0,"PAIR",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8313217635245,-164.963216629366
"45",FALSE,"NONE","NON","F","BAND",1994-05-17,1420,"TLM",501500,"6744500",0,"PAIR",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.835813030109,-164.972408603688
"46",FALSE,"NASAL","PRE","F","BAND",1994-05-17,1140,"ADS",5e+05,"6745000",0,"PAIR",NA,"1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8403049238295,-165
"47",FALSE,"TARSAL","NON","F","BAND",1994-05-17,1300,"ADS",499500,"6745500",0,"PAIR",NA,"1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447936682404,-165.009199711832
"48",FALSE,"TARSAL","NON","F","BAND",1994-05-17,1310,"ADS",499500,"6746000",0,"PAIR",NA,"1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8492827243056,-165.009201002045
"49",FALSE,"NASAL","PRE","F","BAND",1994-05-17,1330,"ADS",499500,"6745500",0,"PAIR",NA,"1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447936682404,-165.009199711832
"50",FALSE,"NONE","NON","F","BAND",1994-05-17,1335,"ADS",499500,"6746000",0,"PAIR",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8492827243056,-165.009201002045
"51",FALSE,"META","NON","F","BAND",1994-05-20,1640,"TLM",499500,"6745500",0,"PAIR","observed from west tower","1994",NA,"RED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447936682404,-165.009199711832
"52",FALSE,"NONE","NON","F","BAND",1994-05-17,1530,"ADS",499500,"6745000",0,"PAIR",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8403046091545,-165.009198422038
"53",FALSE,"NONE","NON","F","BAND",1994-05-18,1445,"ADS",502500,"6746500",0,"PAIR",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8537642209983,-164.953988544993
"54",FALSE,"NASAL","E16","F","BAND",1994-05-19,1651,"TLM",5e+05,"6745000",0,"PAIR",NA,"1994",NA,"C4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8403049238295,-165
"55",FALSE,"TARSAL","NON","F","BAND",1994-05-19,1722,"TLM",499500,"6745000",0,"PAIR",NA,"1994",NA,"YEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8403046091545,-165.009198422038
"56",FALSE,"META","NON","F","BAND",1994-05-19,1740,"TLM",5e+05,"6745000",0,"PAIR",NA,"1994",NA,"RED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8403049238295,-165
"57",FALSE,"NONE","NON","F","BAND",1994-05-19,1745,"TLM",5e+05,"6745000",0,"PAIR",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8403049238295,-165
"58",FALSE,"TARSAL","NON","F","BAND",1994-05-20,1420,"TLM",499500,"6745500",0,"PAIR",NA,"1994",NA,"YEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447936682404,-165.009199711832
"59",FALSE,"NONE","NON","F","BAND",1994-05-20,1410,"TLM",5e+05,"6745500",0,"PAIR",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.844793982973,-165
"60",FALSE,"META","NON","F","BAND",1994-05-20,1450,"TLM",5e+05,"6745500",0,"PAIR",NA,"1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.844793982973,-165
"61",FALSE,"TARSAL","NON","F","BAND",1994-05-20,1510,"TLM",5e+05,"6745500",0,"PAIR",NA,"1994",NA,"A0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.844793982973,-165
"62",FALSE,"NONE","NON","F","BAND",1994-05-20,1415,"TLM",5e+05,"6744500",0,"PAIR",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8358158616651,-165
"63",FALSE,"NONE","NON","F","BAND",1994-05-20,1545,"TLM",5e+05,"6743500",0,"PAIR",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8268377282723,-165
"64",FALSE,"NONE","NON","F","BAND",1994-05-20,1610,"TLM",500500,"6743500",0,"PAIR",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8268374137702,-164.990805444839
"65",FALSE,"NONE","NON","F","BAND",1994-05-20,1645,"ADS",5e+05,"6744000",0,"PAIR","pair unable to fly from ditch confines","1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8313267964795,-165
"66",FALSE,"NONE","NON","F","TLM001",1994-05-23,804,"TLM",499500,"6745000",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8403046091545,-165.009198422038
"67",FALSE,"NONE","NON","F","TLM003",1994-05-23,1200,"TLM",5e+05,"6746500",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8537720921986,-165
"68",FALSE,"TARSAL","NON","F","TLM004",1994-05-23,1600,"TLM",499500,"6745500",0,"NEST",NA,"1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447936682404,-165.009199711832
"69",FALSE,"NONE","NON","F","TLM006",1994-05-24,1311,"TLM",500500,"6743500",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8268374137702,-164.990805444839
"70",FALSE,"NONE","NON","F","TLM007",1994-05-24,1349,"TLM",500500,"6743500",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8268374137702,-164.990805444839
"71",FALSE,"NONE","NON","F","ADS001",1994-05-23,1530,"ADS",499500,"6745500",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447936682404,-165.009199711832
"72",FALSE,"TARSAL","NON","F","TLM012",1994-05-25,1319,"TLM",503000,"6745500",0,"NEST",NA,"1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447826525995,-164.944801743643
"73",FALSE,"NONE","NON","F","TLM014",1994-05-25,1602,"TLM",502500,"6745000",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8402970569557,-164.954007898171
"74",FALSE,"NONE","UNK","F","ADS002",1994-05-25,1530,"ADS",502500,"6745000",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8402970569557,-164.954007898171
"75",FALSE,"NONE","NON","F","TLM016",1994-05-26,905,"TLM",500500,"6745500",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447936682404,-164.990800288168
"76",FALSE,"NONE","UNK","F","TLM017",1994-05-26,923,"TLM",500500,"6745500",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447936682404,-164.990800288168
"77",FALSE,"NONE","NON","F","ADS003",1994-05-26,1100,"ADS",500500,"6746000",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8492827243056,-164.990798997955
"78",FALSE,"NONE","UNK","F","ADS004",1994-05-26,1120,"ADS",500500,"6746000",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8492827243056,-164.990798997955
"79",FALSE,"NONE","NON","F","ADS008",1994-05-27,815,"ADS",501000,"6744500",0,"NEST","also incub ccgo egg","1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8358146031957,-164.981605735095
"80",FALSE,"NONE","NON","F","ADS010",1994-05-27,1300,"ADS",501500,"6744000",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8313239654421,-164.972412470563
"81",FALSE,"TARSAL","NON","F","TLM019",1994-05-28,1402,"TLM",5e+05,"6744500",0,"NEST",NA,"1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8358158616651,-165
"82",FALSE,"NONE","NON","F","TLM020",1994-05-28,1454,"TLM",5e+05,"6744500",0,"NEST",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8358158616651,-165
"83",FALSE,"NONE","NON","F","TLM021",1994-05-28,1512,"TLM",5e+05,"6744500",0,"NEST",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8358158616651,-165
"84",FALSE,"NONE","NON","F","TLM023",1994-05-28,1702,"TLM",5e+05,"6744000",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8313267964795,-165
"85",FALSE,"NONE","NON","F","TLM026",1994-05-28,1821,"TLM",5e+05,"6744000",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8313267964795,-165
"86",FALSE,"META","NON","F","TLM028",1994-05-29,1330,"TLM",499500,"6745500",0,"NEST",NA,"1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447936682404,-165.009199711832
"87",FALSE,"NONE","NON","F","TLM029",1994-05-29,1511,"TLM",5e+05,"6745000",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8403049238295,-165
"88",FALSE,"NONE","NON","F","TLM031",1994-05-30,846,"TLM",502500,"6745000",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8402970569557,-164.954007898171
"89",FALSE,"NONE","NON","F","TLM032",1994-05-30,859,"TLM",502500,"6745000",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8402970569557,-164.954007898171
"90",FALSE,"NONE","NON","F","TLM033",1994-05-30,1015,"TLM",503000,"6745000",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8402935955321,-164.944809482403
"91",FALSE,"NONE","NON","F","TLM042",1994-05-30,1439,"TLM",502500,"6744500",0,"NEST",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8358079962325,-164.95401434505
