"","NEST_NO","SPECIES","DATE","OBS","EGGNO","LENGTH","WIDTH","LINK","WEBTAG","WEIGHT","RADIO","TAGDATE","Year"
"1","TLM001","SPEI",1994-05-23,"TLM",1,67,46,NA,0,0,0,1994-06-15,"1994"
"2","TLM001","SPEI",1994-05-23,"TLM",2,68,46,NA,0,0,0,1994-06-15,"1994"
"3","TLM001","SPEI",1994-05-23,"TLM",3,67,44.1,NA,0,0,0,1994-06-15,"1994"
"4","TLM001","SPEI",1994-05-23,"TLM",4,66,45,NA,0,0,0,1994-06-15,"1994"
"5","TLM001","SPEI",1994-05-23,"TLM",5,65,45,NA,0,0,0,1994-06-15,"1994"
"6","TLM002","COEI",1994-05-23,"TLM",1,77.8,51,NA,0,0,0,NA,"1994"
"7","TLM002","COEI",1994-05-23,"TLM",2,79.2,51,NA,0,0,0,NA,"1994"
"8","TLM002","COEI",1994-05-23,"TLM",3,80.1,48.9,NA,0,0,0,NA,"1994"
"9","TLM003","SPEI",1994-05-23,"TLM",1,69.3,45.1,NA,0,0,0,NA,"1994"
"10","TLM003","SPEI",1994-05-23,"TLM",2,68.5,44.3,NA,0,0,0,NA,"1994"
"11","TLM003","SPEI",1994-05-23,"TLM",3,69.8,44.5,NA,0,0,0,NA,"1994"
"12","TLM003","SPEI",1994-05-23,"TLM",4,70.3,45.1,NA,0,0,0,NA,"1994"
"13","TLM003","SPEI",1994-05-23,"TLM",5,70.9,45.4,NA,0,0,0,NA,"1994"
"14","TLM003","SPEI",1994-05-23,"TLM",6,68.9,45.8,NA,0,0,0,NA,"1994"
"15","TLM004","SPEI",1994-05-23,"TLM",1,66.2,46.3,NA,0,0,0,1994-06-15,"1994"
"16","TLM004","SPEI",1994-05-23,"TLM",2,69.5,48,NA,0,0,0,1994-06-15,"1994"
"17","TLM004","SPEI",1994-05-23,"TLM",3,67.3,48,NA,0,0,0,1994-06-15,"1994"
"18","TLM004","SPEI",1994-05-23,"TLM",4,71.2,49.4,NA,0,0,0,1994-06-15,"1994"
"19","TLM004","SPEI",1994-05-23,"TLM",5,65.3,46.7,NA,0,0,0,1994-06-15,"1994"
"20","TLM005","COEI",1994-05-24,"TLM",1,71.8,49.3,NA,0,0,0,NA,"1994"
"21","TLM005","COEI",1994-05-24,"TLM",2,74.2,50.5,NA,0,0,0,NA,"1994"
"22","TLM005","COEI",1994-05-24,"TLM",3,72.3,51.2,NA,0,0,0,NA,"1994"
"23","TLM005","COEI",1994-05-24,"TLM",4,74,50.4,NA,0,0,0,NA,"1994"
